ID,要素数,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,8,9,31,7,35,6,44,37,41,,,,,,,,,,,,,,,,,,,,
2,7,27,21,15,31,26,43,42,,,,,,,,,,,,,,,,,,,,,
3,23,27,37,43,41,43,43,41,45,31,15,50,43,41,43,43,41,26,31,8,50,35,27,31,,,,,
4,18,27,37,15,43,41,42,45,31,20,43,42,26,8,21,33,35,27,31,,,,,,,,,,
5,4,15,31,24,24,,,,,,,,,,,,,,,,,,,,,,,,
6,24,29,1,22,42,27,42,27,29,3,22,42,29,1,27,42,29,26,9,21,10,27,31,21,42,,,,
7,8,9,31,7,35,6,44,37,41,,,,,,,,,,,,,,,,,,,,
8,22,2,47,34,2,8,36,20,31,9,36,1,31,1,36,31,15,43,3,36,20,43,36,,,,,,
9,18,26,29,1,31,27,1,39,29,32,21,1,39,36,26,15,21,20,41,,,,,,,,,,
10,25,27,49,6,31,26,12,26,35,26,29,20,29,26,39,29,1,27,27,29,31,21,8,26,15,43,,,
11,12,21,42,29,28,46,42,46,28,29,42,42,28,,,,,,,,,,,,,,,,
12,23,24,15,35,43,24,20,36,43,24,20,39,43,24,19,37,43,24,13,28,43,24,6,36,,,,,
13,15,27,13,42,6,7,1,32,15,31,2,42,16,13,20,4,,,,,,,,,,,,,
14,28,27,49,6,31,26,12,26,35,26,29,20,46,29,26,39,29,1,27,46,27,29,31,21,8,50,26,15,43
15,14,28,12,31,26,15,31,43,29,1,36,26,29,20,42,,,,,,,,,,,,,,
16,16,20,29,1,20,46,42,21,20,29,6,41,41,26,20,20,31,,,,,,,,,,,,
17,8,27,42,37,28,6,42,30,42,,,,,,,,,,,,,,,,,,,,
18,12,24,1,34,24,1,34,24,20,28,24,31,6,,,,,,,,,,,,,,,,
19,15,24,24,1,24,1,24,41,20,41,24,20,28,24,31,6,,,,,,,,,,,,,
20,26,28,20,42,32,28,20,43,31,27,46,20,36,42,27,46,20,42,31,27,50,11,42,29,1,31,39,,
21,20,28,46,15,36,28,46,1,41,28,46,7,31,28,46,20,41,28,46,20,41,,,,,,,,
22,5,28,14,28,35,20,,,,,,,,,,,,,,,,,,,,,,,
23,5,1,20,7,20,15,,,,,,,,,,,,,,,,,,,,,,,
24,6,3,33,2,41,4,5,,,,,,,,,,,,,,,,,,,,,,
25,15,7,29,3,28,7,33,7,29,2,40,7,29,5,29,4,,,,,,,,,,,,,
26,9,25,20,42,30,39,17,28,50,20,,,,,,,,,,,,,,,,,,,
27,21,29,31,27,2,29,33,25,29,28,20,42,2,29,28,41,29,5,29,42,4,28,,,,,,,
28,23,29,31,27,3,29,33,25,29,28,2,39,28,29,41,28,29,27,5,4,41,28,29,28,,,,,
29,14,28,7,8,49,35,41,35,36,37,15,6,31,35,36,,,,,,,,,,,,,,
30,20,28,46,15,31,28,46,1,32,28,46,20,7,42,28,20,41,28,20,38,38,,,,,,,,
